bookID,Title,Category,Author,Average_Rating,ISBN13,Num_Pages,Ratings_Count,Publication_Year,Publisher
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Biography & Autobiography,Narendra Jadhav,3.82,9780743270793,320,308,2005,Scribner
171,The Evidence-Based Social Work Skills Book,Social Science,Barry R. Cournoyer,3.4,9780205358625,216,10,2003,Pearson
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Science fiction.,Madeleine L'Engle,4.0,9780821925324,250,36,2002,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,Education,Tara MacCarthy,3.6,9780439271691,32,15,2002,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,Science fiction,Madeleine L'Engle,4.0,9780606105262,205,6,1984,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),Fiction,Cynthia Harrod-Eagles,4.12,9780751506433,367,376,1994,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),Fiction,Charles Todd,4.11,9780060786717,352,3086,2006,William Morrow
208,A Shadow in Summer (Long Price Quartet  #1),Fiction,Daniel Abraham,3.6,9780765313409,331,9852,2006,Tor Books
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Fiction,Charles Willeford,3.89,9780679732525,144,98,1990,Vintage
231,I am Charlotte Simmons,Fiction,Tom Wolfe,3.42,9780312424442,738,20888,2005,Picador USA
244,The Puffin Book of Nonsense Verse,Juvenile Nonfiction,Quentin Blake,4.02,9780140366600,287,81,1996,Puffin
247,Quiet Days in Clichy,Fiction,Henry Miller,3.69,9780802130167,154,3381,1994,Grove Press
250,Tropic of Capricorn,Fiction,Henry Miller,3.78,9780802151827,348,14872,1994,Grove Press
251,Nexus (The Rosy Crucifixion  #3),Fiction,Henry Miller,4.1,9780802151780,316,3261,1994,Grove Press
252,Sexus (The Rosy Crucifixion  #1),"Brooklyn (New York, N.Y.)",Henry Miller,3.98,9780802151803,506,7805,1994,Grove Press
253,The Air-Conditioned Nightmare,Fiction,Henry Miller,3.83,9780811201063,292,2699,1970,New Directions
277,Writing,Literary Collections,Marguerite Duras,3.75,9781571290533,91,778,1999,Brookline Books
295,Treasure Island,Fiction,Robert Louis Stevenson,3.83,9780753453803,311,318753,2001,Kingfisher
297,Treasure Island,Fiction,Robert Louis Stevenson,3.83,9781416500292,245,5967,2005,Simon & Schuster
313,100 Years of Lynchings,Social Science,Ralph Ginzburg,4.61,9780933121188,270,88,1996,Black Classic Press
330,On Beyond Zebra!,Juvenile Fiction,Dr. Seuss,4.04,9780394800844,64,2815,1955,Random House Books for Young Readers
332,The Wedding Clause,Fiction,Debbie Raleigh,3.6,9780821778258,256,95,2005,Zebra
333,The Zebra Wall,Juvenile Fiction,Kevin Henkes,3.44,9780060733032,147,217,2005,Greenwillow Books
337,El perfume: Historia de un asesino,Fiction,Patrick Süskind,4.02,9788432216060,239,4136,2002,Booket
348,The Door Into Summer,Fiction,Robert A. Heinlein,4.01,9780345413994,304,17232,1997,Del Rey
350,Stranger in a Strange Land,Fiction,Robert A. Heinlein,3.92,9780441788385,528,251872,1991,Ace
354,To Sail Beyond the Sunset,Fiction,Robert A. Heinlein,3.87,9780441748600,434,10293,1988,Ace Books
355,Job: A Comedy of Justice,Fiction,Robert A. Heinlein,3.78,9780345316509,439,15970,1985,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),Fiction,Robert A. Heinlein,3.97,9780765314932,256,6898,2006,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Fiction,Douglas Adams,4.06,9780671742515,307,67803,1991,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),Fiction,Douglas Adams,3.93,9780345455291,298,22091,2005,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Biography & Autobiography,Nick  Webb,4.14,9780345476517,368,2623,2005,Del Rey
367,Douglas Adams's Starship Titanic,Fiction,Terry Jones,3.6,9780345368430,256,885,1998,Ballantine Books
385,On Bullshit,Philosophy,Harry G. Frankfurt,3.57,9780691122946,67,9358,2005,Princeton University Press
386,Another Bullshit Night in Suck City,Biography & Autobiography,Nick Flynn,3.78,9780393329407,347,9318,2005,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,History,Garry Wills,4.14,9780671867423,317,120,1993,Simon & Schuster
399,Underworld,Fiction,Don DeLillo,3.92,9780684848150,827,1505,1998,Scribner
400,Libra,Fiction,Don DeLillo,3.99,9780140156041,480,11857,1991,Penguin
403,Americana,Fiction,Don DeLillo,3.43,9780140119480,377,393,1989,Penguin Books
404,Running Dog,Fiction,Don DeLillo,3.43,9780679722946,256,1356,1989,Vintage Contemporaries
406,Cosmopolis,Fiction,Don DeLillo,3.22,9780743244251,224,460,2004,Scribner
407,Great Jones Street,Fiction,Don DeLillo,3.48,9780140179170,272,2492,1994,Penguin Books
408,The Names,Fiction,Don DeLillo,3.64,9780679722953,339,3100,1989,Vintage
409,Against the Day,Fiction,Thomas Pynchon,4.13,9781594201202,1085,5296,2006,Penguin Press
410,V.,Fiction,Thomas Pynchon,3.96,9780060930219,547,1415,2005,Harper Perennial Modern Classics
411,The Crying of Lot 49,Fiction,Thomas Pynchon,3.69,9780060931674,152,2161,1999,Harper Perennial
412,Gravity's Rainbow,Fiction,Thomas Pynchon,4.01,9780140283389,784,762,2000,Penguin Books
414,Vineland,Fiction,Thomas Pynchon,3.69,9780141180632,385,702,1997,Penguin Classics
415,Gravity's Rainbow,Fiction,Thomas Pynchon,4.01,9780143039945,776,29764,2006,Penguin Books
416,Slow Learner: Early Stories,Fiction,Thomas Pynchon,3.5,9780316724432,193,334,1985,Back Bay Books
420,The Year of Magical Thinking,Biography & Autobiography,Joan Didion,3.89,9781400043149,227,2656,2005,Knopf Publishing Group
421,The White Album,Literary Collections,Joan Didion,4.17,9780374522216,222,11889,1990,Farrar Straus Giroux
422,A Book of Common Prayer,Fiction,Joan Didion,3.8,9780679754862,272,2962,1995,Vintage International
423,Where I Was From,Biography & Autobiography,Joan Didion,3.86,9780679752868,240,2842,2004,Vintage
425,Democracy,Fiction,Joan Didion,3.81,9780679754855,234,2070,1995,Vintage International
432,City of Glass (The New York Trilogy  #1),Fiction,Paul Auster,3.79,9780140097313,203,12410,1987,Penguin Books
434,Ghosts (The New York Trilogy  #2),Fiction,Paul Auster,3.64,9780140097351,96,3672,1987,Penguin Books
435,The Locked Room (The New York Trilogy  #3),Fiction,Paul Auster,3.89,9780940650763,179,2998,1986,Sun and Moon Press
446,The Brooklyn Follies,Fiction,Paul Auster,3.84,9780312426231,306,17977,2006,Picador
447,Moon Palace,Fiction,Paul Auster,3.94,9780140115857,320,16099,1990,Penguin Books
453,The Music of Chance,Fiction,Paul Auster,3.9,9780140154078,217,361,1991,Penguin Books
454,Travels in the Scriptorium,Fiction,Paul Auster,3.23,9780805081459,145,6688,2007,Henry Holt & Company
456,Leviathan,Fiction,Paul Auster,3.96,9780140178135,275,11744,1993,Penguin Books
463,The Red Notebook: True Stories,Fiction,Paul Auster,3.77,9780811214988,104,2390,2002,New Directions
475,Collapse: How Societies Choose to Fail or Succeed,History,Jared Diamond,3.93,9780143036555,608,52522,2005,Penguin Books Ltd. (London)
477,Collapse of Complex Societies,History,Joseph A. Tainter,4.15,9780521386739,262,719,1990,Cambridge University Press
478,Bowling Alone: The Collapse and Revival of American Community,History,Robert D. Putnam,3.8,9780743203043,544,4762,2001,Simon  Schuster
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Political Science,Philip K. Howard,3.91,9780345438713,272,62,2002,Ballantine Books
493,My Inventions,Biography & Autobiography,Nikola Tesla,4.01,9781599869940,88,2862,2006,Filiquarian Publishing  LLC.
497,Nikola Tesla: A Spark of Genius,Technology & Engineering,Carol Dommermuth-Costa,3.93,9780822549208,144,105,1994,Lerner Publications
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,History,Victor Davis Hanson,4.11,9780812969702,397,1693,2006,Random House
537,The Lovely Bones,Fiction,Alice Sebold,3.81,9780330485388,328,6485,2003,Picador
538,The Lovely Bones,Fiction,Alice Sebold,3.81,9781594130236,532,367,2004,Large Print Press
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Fiction,Sharyn McCrumb,3.8,9780345360359,224,1371,1990,Ballantine Books
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Computers,Elizabeth Castro,3.8,9780321430847,456,549,2006,Peachpit Press
597,Killing Yourself to Live: 85% of a True Story,Biography & Autobiography,Chuck Klosterman,3.81,9780743264464,245,26381,2006,Scribner
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Humor,Chuck Klosterman,3.73,9780743236010,272,62089,2004,Scribner
619,Vice (V  #8),Fiction,Jane Feather,3.51,9780553572490,419,474,1996,Bantam
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Psychology,Robert M. Pirsig,3.77,9780060589462,540,166046,2006,HarperTorch
643,Motorcycle Basics Techbook,Transportation,John Harold Haynes,3.85,9781859605158,222,40,2002,Haynes Manuals N. America  Inc.
663,For the New Intellectual: The Philosophy of Ayn Rand,Philosophy,Ayn Rand,3.68,9780451163080,224,2750,1963,Signet Book
664,The Fountainhead,Fiction,Ayn Rand,3.87,9780452286757,752,1886,2005,Dutton
667,Anthem,Fiction,Ayn Rand,3.63,9780452281257,105,110952,1999,NAL
675,Sailing from Byzantium: How a Lost Empire Shaped the World,History,Colin  Wells,3.88,9780553803815,368,646,2006,Delacorte Press
676,Sailing Alone Around the Room: New and Selected Poems,Poetry,Billy Collins,4.23,9780375755194,192,12180,2002,Random House Trade Paperbacks
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Sports & Recreation,Christopher Caswell,3.62,9781592283194,286,51,2004,Lyons Press
681,"Natural Cures ""They"" Don't Want You to Know about",Alternative medicine,Kevin Trudeau,3.09,9780975599518,571,1601,2004,Alliance Publishing
698,Digging to America,Fiction,Anne Tyler,3.55,9780307263940,277,17155,2006,Alfred A. Knopf
703,The Plot Against America,Fiction,Philip Roth,3.77,9781400079490,391,33321,2005,Vintage International
707,Naked Pictures of Famous People,Humor,Jon   Stewart,3.59,9780688171629,164,8703,1999,Dey Street Books
762,Crónica de una muerte anunciada,FICTION,Gabriel García Márquez,3.97,9781400034956,118,7888,2003,Vintage Espanol
763,Cien años de soledad,Fiction,Gabriel García Márquez,4.07,9780307350428,496,130,2006,Plaza y Janes
764,Del amor y otros demonios,Fiction,Gabriel García Márquez,3.98,9780307350442,176,4508,2006,Plaza y Janes
766,Memoria de mis putas tristes,Fiction,Gabriel García Márquez,3.6,9781400095803,112,5856,2004,Vintage Espanol
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Science,Brian Greene,4.07,9780375708114,425,32569,2004,Vintage Books USA
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,Sports & Recreation,H.G. Bissinger,3.88,9780618710539,287,6870,2006,Mariner Books
816,Cryptonomicon,Fiction,Neal Stephenson,4.25,9780060512804,1139,83184,2002,Avon
822,The Confusion (The Baroque Cycle  #2),Fiction,Neal Stephenson,4.26,9780060733353,815,19320,2005,William Morrow Paperbacks
823,Quicksilver (The Baroque Cycle  #1),Fiction,Neal Stephenson,3.93,9780060593087,927,30872,2004,HarperCollins Perennial
826,The Big U,Fiction,Neal Stephenson,3.25,9780380816033,308,4657,2001,William Morrow Paperbacks
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Fiction,Neal Stephenson,4.2,9780060833183,464,1567,2006,HarperTorch
880,Pompeii,Fiction,Robert   Harris,3.82,9780812974614,274,26922,2005,Random House Trade Paperbacks
890,Of Mice and Men,Fiction,John Steinbeck,3.87,9780142000670,103,1755253,2002,Penguin Books
900,The Game: Penetrating the Secret Society of Pickup Artists,Biography & Autobiography,Neil Strauss,3.74,9780060554736,464,20529,2005,It Books
902,The Westing Game,Apartment houses,Ellen Raskin,4.02,9780142401200,182,142121,2004,Puffin
903,The Egypt Game,Juvenile Fiction,Zilpha Keatley Snyder,3.83,9780808553038,215,30231,2009,Turtleback Books
929,Memoirs of a Geisha,Fiction,Arthur Golden,4.11,9781400096893,503,280309,2005,Vintage Books USA
930,Memoirs of a Geisha,Fiction,Arthur Golden,4.11,9780739326220,434,1301083,2005,Random House Large Print Publishing
931,Memoirs of a Geisha,American fiction,Arthur Golden,4.11,9780099498186,497,2122,2005,Vintage
933,Memoirs of a Geisha,Geishas,Arthur Golden,4.11,9780099771517,497,4189,1998,Vintage
955,The 5 Love Languages / The 5 Love Languages Journal,Family & Relationships,Gary Chapman,4.7,9780802415318,0,22,2005,Moody Publishers
960,Angels & Demons (Robert Langdon  #1),Fiction,Dan Brown,3.89,9781416524793,736,2418736,2006,Pocket Books
965,Ángeles y demonios (Robert Langdon  #1),Fiction,Dan Brown,3.89,9788495618771,508,196,2005,Umbriel
968,The Da Vinci Code (Robert Langdon  #2),Fiction,Dan Brown,3.84,9780307277671,489,1679706,2006,Anchor
969,The Da Vinci Code,Fiction,Dan Brown,3.84,9780767926034,467,1120,2006,Broadway Books
975,Deception Point,Fiction,Dan Brown,3.71,9781416524809,736,4919,2006,Pocket Books
977,Deception Point,Americans,Dan Brown,3.71,9780552151764,585,3353,2004,Corgi Books
980,Deception Point,Arctic regions,Dan Brown,3.71,9780593055076,448,61,2005,Bantam Press
987,A Killing Rain (Louis Kincaid  #6),Fiction,P.J. Parrish,4.04,9780786016068,383,456,2005,Pinnacle
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Self-Help,Napoleon Hill,4.18,9781585424337,320,88897,2005,Tarcherperigee
1007,Think and Grow Rich,Business & Economics,Napoleon Hill,4.18,9781932429237,368,48,2004,High Roads Media
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Computers,Mike   Mason,3.58,9780977616657,256,173,2006,Pragmatic Bookshelf
1022,Read My Lips: Sexual Subversion and the End of Gender,Biography & Autobiography,Riki Anne Wilchins,3.95,9781563410901,288,253,2005,Firebrand Books
1052,The Richest Man in Babylon,Business & Economics,George S. Clason,4.26,9780451205360,194,76451,2008,Berkley Books
1067,1776,Biography & Autobiography,David McCullough,4.07,9780743226721,386,166916,2006,Simon  Schuster
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,History,Robert J. Allison,3.62,9780226014906,284,31,2000,University of Chicago Press
1078,The Good Earth (House of Earth  #1),Fiction,Pearl S. Buck,3.98,9781416500186,418,200744,2009,Howard Publishing Co
1097,Fast Food Nation: The Dark Side of the All-American Meal,History,Eric Schlosser,3.74,9780060838584,399,190039,2005,Harper Perennial
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Business & Economics,Eric Schlosser,3.74,9780141006871,384,811,2002,Penguin Books
1103,Snow Flower and the Secret Fan,Fiction,Lisa See,4.07,9780812968064,269,297533,2006,Random House
1110,The Broker,Fiction,John Grisham,3.78,9780385340540,422,72361,2006,Delta
1111,The Power Broker: Robert Moses and the Fall of New York,New York (N.Y.),Robert A. Caro,4.51,9780394720241,1344,11208,1975,Vintage
1117,The Power Broker: A Novel (Christian Gillette  #3),Fiction,Stephen W. Frey,3.75,9780345480606,320,28,2006,Ballantine Books
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Health & Fitness,Bill Phillips,3.95,9780972018418,405,814,2003,High Point Media
1169,Monkey Business,Fiction,Sarah Mlynowski,3.67,9780373250714,392,3379,2004,Red Dress Ink
1171,Liar's Poker,Biography & Autobiography,Michael   Lewis,4.15,9780140143454,256,22843,1990,Penguin Books
1177,Liar's Poker: A Harry Garnish Mystery,Fiction,Frank McConnell,3.31,9780802732293,214,13,1993,Walker & Company
1192,Everyday Italian: 125 Simple and Delicious Recipes,Cooking,Giada De Laurentiis,3.95,9781400052585,256,40125,2005,Clarkson Potter
1218,The Last Assassin (John Rain  #5),Fiction,Barry Eisler,4.27,9780399153594,338,189,2006,Putnam Publishing Group
1234,Shadows and Wind: A View of Modern Vietnam,History,Robert Templer,3.49,9780140285970,400,102,1999,Penguin Books
1241,A Million Little Pieces,Biography & Autobiography,James Frey,3.65,9780307276902,515,206011,2005,Anchor Books
1242,A Million Little Pieces of Feces,Fiction,Python Bonkers,3.56,9781411677319,256,43,2006,Lulu.com
1255,Leadership in Organizations,Business & Economics,Gary Yukl,3.68,9780131494848,542,55,2005,Prentice Hall
1265,Leadership,Leadership,Rudolph W. Giuliani,3.72,9780316861014,397,1820,2002,Little  Brown
1274,Men Are from Mars  Women Are from Venus,Family & Relationships,John Gray,3.55,9780060574215,368,132062,2012,Harper Paperbacks
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,Family & Relationships,John Gray,3.62,9780060192778,368,18,1998,Harper
1295,The Clan of the Cave Bear (Earth's Children  #1),Fiction,Jean M. Auel,4.05,9780553381672,512,184418,2002,Bantam
1296,The Clan of the Cave Bear (Earth's Children  #1),Fiction,Jean M. Auel,4.05,9780517542026,468,495,1980,Crown Publishing Group
1301,Moneyball: The Art of Winning an Unfair Game,Business & Economics,Michael   Lewis,4.26,9780393324815,317,85094,2004,W. W. Norton  Company
1302,Juiced Official Strategy Guide,Games & Activities,Doug Walsh,0.0,9780744005615,112,0,2005,BradyGames
1305,Gates of Fire,Fiction,Steven Pressfield,4.42,9780553383683,392,21934,2005,Bantam
1312,The Gate of Fire (Oath Of Empire Book Two),Fiction,Thomas Harlan,3.58,9780812590104,721,146,2001,Tor Classics
1315,The Afghan Campaign,Fiction,Steven Pressfield,3.96,9780385516419,354,3002,2006,Doubleday Books
1317,Tides of War,Fiction,Steven Pressfield,3.9,9780553381399,448,3422,2001,Bantam
1318,Last of the Amazons,Fiction,Steven Pressfield,3.76,9780553382044,400,2138,2003,Bantam
1403,City Eclogue,Social Science,Ed Roberson,4.13,9781891190230,136,67,2006,Atelos Press
1408,Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Cooking,Paul  Kirk,3.94,9781558321250,272,55,1997,Harvard Common Press
1419,The Complete Works,Drama,William Shakespeare,4.5,9780517092941,1248,62,1991,Gramercy
1426,Warrior of the Light,Fiction,Paulo Coelho,3.7,9780060527983,142,22662,2004,HarperOne
1437,Cliffs Notes on Shakespeare's Hamlet,Literary Criticism,Carla Lynn Stockton,3.69,9780764586033,129,65,2000,Cliffs Notes
1486,The Trojan Women and Hippolytus,Drama,Euripides,3.63,9780486424620,64,34,2002,Dover Publications
1488,The Bacchae of Euripides: A Communion Rite,Drama,Wole Soyinka,3.86,9780393325836,128,116,2004,W. W. Norton  Company
1504,Euripides: Medea,Literary Collections,William Allan,4.04,9780715631874,160,23,2002,Bristol Classical Press
1506,CliffsNotes on Euripides' Medea and Electra,Study Aids,Robert J. Milch,4.2,9780822004240,69,5,1965,Cliffs Notes
1529,Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Drama,Simon Goldhill,4.03,9780521539814,95,31,2004,Cambridge University Press
